time,value
0.1,0
0.2,24.27344
0.3,35.76718
0.4,54.41663
0.5,96.46158
0.6,142.4239
0.7,192.2344
0.8000001,222.1866
0.9000001,252.599
1,289.7534
1.1,347.3996
1.2,389.8958
1.3,406.2858
1.4,435.7109
1.5,474.0679
1.6,547.7128
1.7,589.7971
1.8,628.5991
1.9,689.1971
2,728.2465
2.1,774.7144
2.2,804.8282
2.3,868.6552
2.4,930.067
2.5,958.635
2.6,982.6577
2.7,1023.257
2.799999,1084.67
2.899999,1143.934
2.999999,1189.588
3.099999,1256.829
3.199999,1289.898
3.299999,1327.362
3.399999,1363.069
3.499999,1416.396
3.599999,1461.515
3.699999,1501.534
3.799999,1541.535
3.899998,1603.898
3.999998,1635.253
4.099998,1676.513
4.199998,1701.77
4.299998,1735.611
4.399998,1829.481
4.499998,1859.306
4.599998,1896.745
4.699998,1950.76
4.799998,1996.24
4.899998,2066.044
4.999998,2123.311
5.099998,2177.449
5.199997,2219.822
5.299997,2263.026
5.399997,2335.805
5.499997,2391.308
5.599997,2422.461
5.699997,2475.586
5.799997,2520.003
5.899997,2577.246
5.999997,2627.945
6.099997,2708.571
6.199996,2751.935
6.299996,2790.843
6.399996,2826.501
6.499996,2905.913
6.599996,2962.208
6.699996,3018.263
6.799996,3091.455
6.899996,3134.143
6.999996,3163.642
7.099996,3224.64
7.199996,3268.295
7.299995,3317.038
7.399995,3348.53
7.499995,3388.342
7.599995,3478.463
7.699995,3508.167
7.799995,3532.667
7.899995,3623.533
7.999995,3657.976
8.099995,3687.064
8.199995,3722.453
8.299995,3787.562
8.399996,3826.96
8.499996,3855.494
8.599997,3909.465
8.699997,3970.187
8.799997,4026.021
8.899998,4045.853
8.999998,4085.439
9.099998,4200.066
9.199999,4223.538
9.299999,4236.424
9.4,4254.604
9.5,4365.283
9.6,4387.15
9.700001,4432.109
9.800001,4460.138
9.900002,4547.92
10,4568.32
10.1,4587.048
10.2,4678.703
10.3,4707.776
10.4,4750.6
10.5,4771.811
10.6,4812.759
10.7,4859.863
10.8,4882.779
10.90001,4929.614
11.00001,4951.142
11.10001,4698.421
11.20001,4706.998
11.30001,4745.886
11.40001,4773.31
11.50001,4819.02
11.60001,4866.399
11.70001,4907.063
11.80001,4930.356
11.90001,4956.706
12.00001,5033.846
12.10001,5050.601
12.20001,5092.353
12.30001,5114.375
12.40001,5164.241
12.50001,5197.935
12.60001,5245.767
12.70001,5267.013
12.80001,5284.561
12.90001,5317.184
13.00001,5326.446
13.10001,5329.787
13.20001,5330.325
13.30001,5330.866
13.40001,5330.866
13.50002,5343.211
13.60002,5361.708
13.70002,5383.65
13.80002,5432.904
13.90002,5443.071
14.00002,5495.87
14.10002,5515.806
14.20002,5554.39
14.30002,5577.722
14.40002,5614.575
14.50002,5640.227
14.60002,5662.736
14.70002,5737.075
14.80002,5758.826
14.90002,5798.404
15.00002,5817.241
15.10002,5847.505
15.20002,5864.408
15.30002,5872.165
15.40002,5872.357
15.50002,5872.357
15.60002,5872.357
15.70002,5872.357
15.80002,5872.357
15.90002,5872.357
16.00002,5872.357
16.10003,5872.357
16.20003,5872.357
16.30003,5872.357
16.40003,5865.68
16.50003,5799.793
16.60003,5779.135
16.70003,5740.526
16.80003,5712.093
16.90003,5701.656
17.00003,5699.063
17.10003,5699.063
17.20003,5719.757
17.30003,5793.039
17.40003,5842.879
17.50003,5876.903
17.60003,5908.559
17.70003,5982.797
17.80003,6009.503
17.90003,6052.429
18.00003,6118.896
18.10003,6171.774
18.20003,6197.731
18.30003,6197.731
18.40003,6201.961
18.50003,6201.961
18.60003,6201.961
18.70004,6201.961
18.80004,6201.961
18.90004,6201.961
19.00004,6201.961
19.10004,6201.961
19.20004,6201.961
19.30004,6201.961
19.40004,6201.961
19.50004,6201.961
